和水町	なごみまち
廻江	まいのえ
舞尾	もうの
丹生宮	にうのみや
蟹作町	がんつくりまち
大般若塚	だいはつか
涌井庵室	ゆいあぜつ
改寄	あらき
海路口	うじぐち
蔚山	うるさん
画図	えず
奥古閑	おくこが
面木	おものぎ
鳥ヶ江	からすがえ
九品寺	くほんじ
神水	くわみず
護藤	ごんどう
藻器堀川	しょうけぼりがわ
陳内	じんない
杉塘	すぎども
碩台	せきだい
銭塘	ぜんども
段山	だにやま
近津	ちこうづ
南部	なべ
楡木	にれのき
八景水谷	はけのみや
八分寺	はふじ
良町	ややまち
四方寄	よもぎ
無田口町	むだぐちまち
海士江	あまがえ
久多良木	きゅうたらぎ
栴檀	せんだん
鼠蔵	そぞう
鶴喰	つるばみ
豊原	ぶいわら
催合	もやい
葭牟田	よしむた
大畑	おこば
野間口	おとど
岱明	たいめい
繁根木	はねぎ
両迫間	りょうはざま
方保田	かとうだ
網田	おうだ
三拾町	さじっちょう
築籠	ついごめ
永尾	えいのお
河江	ごうのえ
古保山	こおやま
松橋	まつばせ
小池	こうじ
竹原	たかわら
役犬原	やくいんばる
魚貫	おにき
枦宇土	はじうと
合志	こうし
竹迫	たかば
上生	わぶ
硴江	かきのえ
莎崎	こうざき
廻江	まいのえ
砥用	ともち
洞岳	ほらおか
腹赤	はらか
和水	なごみ
蜻浦	へぼうら
竈門	かまど
滴水	たるみず
投刀塚	なたつか
舞尾	もうの
草部	くさかべ
寒野	さまの
鯰	なまず
栫	かこい
箙瀬	えびらせ
浜川	はまごう
神殿原	こうでんばる
柳別府	やなぎびゅう
